"","ID","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18"
"5997",620096,0,12,36,22,36,36,36,22,22,22,22,22,22,12,6,6,2,2,0
"5998",620097,0,22,22,36,36,22,22,12,12,12,12,6,2,2,2,2,0,0,0
"5999",620098,0,12,36,22,22,12,22,12,12,22,12,12,12,6,6,6,6,2,0
"6000",620099,0,22,36,22,22,36,36,22,22,22,22,12,12,6,2,2,2,2,0
"6001",630000,0,6,6,12,12,12,22,22,12,12,12,12,12,6,2,2,2,2,0
"6002",630001,0,12,12,22,36,36,57,57,57,57,36,22,22,12,12,6,2,2,0
"6003",630002,0,22,22,22,36,36,36,36,36,36,22,22,22,12,6,6,6,2,0
"6004",630003,0,6,12,22,22,22,22,22,22,22,22,22,12,12,12,6,6,2,0
"6005",630004,0,22,22,22,22,12,12,22,22,22,12,12,6,6,6,2,2,2,0
"6006",630005,0,6,12,12,12,12,12,12,12,6,6,6,6,6,2,2,2,2,0
"6007",630006,0,12,36,36,36,22,22,22,12,12,12,12,12,12,6,2,2,0,0
"6008",630007,0,12,22,36,36,22,22,22,22,22,22,12,6,6,2,0,0,0,0
"6009",630008,0,12,36,36,36,36,36,36,22,36,22,12,12,12,12,6,2,2,0
"6010",630009,0,12,12,22,22,22,22,22,22,22,12,12,12,6,6,6,2,2,0
"6011",630010,0,12,12,22,22,22,22,12,12,12,12,12,12,6,6,6,2,2,0
"6012",630011,0,12,6,12,12,22,22,22,12,12,12,12,6,6,2,2,0,0,0
"6013",630012,0,12,22,22,36,36,22,22,22,12,12,12,12,6,6,2,2,2,0
"6014",630013,0,22,36,36,36,36,36,22,22,22,12,12,6,6,6,2,0,0,0
"6015",630014,0,12,22,36,36,36,36,36,36,36,22,22,12,6,6,2,0,0,0
"6016",630015,0,12,12,22,36,36,36,36,22,22,12,12,6,6,6,6,2,2,0
"6017",630016,0,12,22,36,36,57,57,57,36,22,22,22,22,22,22,12,6,2,0
"6018",630017,0,12,22,22,36,36,36,22,22,36,22,12,12,6,6,2,2,2,0
"6019",630018,0,12,22,36,36,36,36,57,57,36,36,22,22,12,6,2,0,0,0
"6020",630019,0,6,22,12,12,22,22,22,22,22,22,22,22,12,12,6,6,2,0
"6021",630020,0,22,22,22,22,22,22,22,22,22,12,12,12,12,6,2,2,2,0
"6022",630021,0,6,12,22,36,36,22,36,36,36,36,22,12,12,6,2,2,2,0
"6023",630022,0,6,22,22,22,22,22,12,22,22,12,12,12,12,6,6,2,0,0
"6024",630023,0,12,22,22,22,22,36,22,22,12,12,12,12,6,2,2,2,0,0
"6025",630024,0,12,12,12,22,36,22,22,22,22,12,6,6,6,2,2,2,0,0
"6026",630025,0,6,12,12,12,12,12,22,12,6,6,12,6,6,6,2,0,0,0
"6027",630026,0,12,22,22,36,36,36,22,22,22,12,6,6,6,6,6,2,2,0
"6028",630027,0,12,12,22,22,36,36,36,36,22,12,12,6,12,6,2,2,2,0
"6029",630028,0,6,12,12,22,22,36,36,22,22,36,22,22,12,6,2,0,0,0
"6030",630029,0,12,12,22,22,22,22,22,22,12,6,6,6,6,2,0,0,0,0
"6031",630030,0,6,22,36,36,36,22,22,22,22,12,6,6,2,2,2,0,0,0
"6032",630031,0,6,22,36,36,36,36,36,36,36,22,22,12,12,6,6,6,2,0
"6033",630032,0,6,22,36,36,57,36,22,22,22,12,12,6,6,6,6,2,2,0
"6034",630033,0,12,12,22,22,22,22,36,36,36,36,36,22,22,12,6,2,0,0
"6035",630034,0,6,36,22,22,22,22,12,12,22,12,12,6,6,6,6,2,2,0
"6036",630035,0,22,22,36,36,57,57,36,36,36,36,36,22,22,12,12,6,2,0
"6037",630036,0,12,36,36,57,57,57,36,36,36,22,22,22,12,12,6,2,2,0
"6038",630037,0,12,22,22,22,22,22,22,22,12,12,12,6,6,6,6,2,0,0
"6039",630038,0,22,22,36,22,36,36,36,22,22,12,12,22,22,12,6,6,2,0
"6040",630039,0,12,36,36,36,57,57,36,22,22,22,22,12,12,12,6,6,2,0
"6041",630040,0,12,22,36,22,36,22,12,12,12,12,12,12,6,2,2,2,2,0
"6042",630041,0,12,22,22,36,36,36,36,36,22,22,22,22,12,12,12,6,2,0
"6043",630042,0,12,22,36,36,22,22,22,12,12,12,12,12,6,2,0,0,0,0
"6044",630043,0,6,12,22,12,12,12,12,12,12,12,12,12,6,6,2,0,0,0
"6045",630044,0,22,36,36,36,36,22,22,22,22,22,22,22,12,12,6,2,2,0
"6046",630045,0,12,22,12,12,12,12,12,12,12,6,12,12,12,12,6,6,2,0
"6047",630046,0,36,36,36,57,57,57,57,36,36,22,22,12,12,6,6,2,0,0
