ID, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
9.400420000000000000e+05, 3, 57, 86, 57, 36, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400430000000000000e+05, 0, 12, 6, 127, 86, 57, 36, 22, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400440000000000000e+05, 24, 64, 43, 30, 19, 485, 358, 258, 182, 127, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400450000000000000e+05, 697, 511, 1260, 927, 697, 511, 388, 277, 201, 141, 93, 61, 38, 30, 19, 10, 4, 1, 0
9.400460000000000000e+05, 0, 1260, 942, 711, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 22, 12, 6, 2, 0
9.400470000000000000e+05, 8, 10, 6, 57, 36, 22, 12, 6, 36, 22, 12, 86, 57, 36, 22, 12, 6, 2, 0
9.400480000000000000e+05, 0, 22, 57, 36, 22, 57, 36, 22, 127, 86, 57, 36, 57, 36, 22, 12, 6, 2, 0
9.400490000000000000e+05, 0, 25, 22, 12, 36, 36, 22, 12, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400500000000000000e+05, 1, 2, 0, 522, 378, 276, 193, 182, 127, 86, 57, 36, 22, 12, 6, 2, 6, 2, 0
9.400510000000000000e+05, 0, 668, 201, 146, 98, 358, 258, 182, 182, 127, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400520000000000000e+05, 43, 291, 834, 614, 448, 326, 240, 156, 107, 167, 107, 75, 48, 30, 16, 8, 4, 1, 0
9.400530000000000000e+05, 139, 98, 98, 98, 98, 584, 424, 302, 213, 146, 98, 68, 42, 25, 13, 12, 6, 2, 0
9.400540000000000000e+05, 1, 0, 57, 36, 22, 12, 358, 258, 182, 127, 86, 57, 57, 36, 22, 12, 6, 2, 0
9.400550000000000000e+05, 16, 8, 6, 2, 0, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400560000000000000e+05, 1238, 942, 712, 501, 360, 260, 184, 129, 88, 88, 88, 53, 53, 33, 19, 10, 6, 2, 0
9.400570000000000000e+05, 64, 40, 24, 13, 797, 608, 485, 352, 252, 177, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400580000000000000e+05, 4, 6, 22, 12, 6, 258, 182, 127, 86, 57, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400590000000000000e+05, 43, 43, 26, 78, 53, 36, 22, 12, 6, 57, 36, 22, 12, 6, 2, 0, 6, 2, 0
9.400600000000000000e+05, 377, 277, 201, 201, 511, 511, 201, 201, 201, 139, 94, 61, 38, 23, 16, 8, 3, 1, 0
9.400610000000000000e+05, 4, 4, 4, 4, 1, 122, 53, 53, 19, 19, 122, 4, 53, 33, 19, 10, 4, 1, 0
9.400620000000000000e+05, 0, 259, 264, 264, 185, 130, 127, 86, 57, 36, 22, 12, 57, 36, 22, 12, 6, 2, 0
9.400630000000000000e+05, 3, 6, 6, 86, 57, 36, 22, 12, 6, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400640000000000000e+05, 1, 277, 277, 201, 139, 127, 86, 57, 36, 36, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400650000000000000e+05, 98, 58, 42, 258, 358, 258, 182, 127, 86, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400660000000000000e+05, 0, 12, 1222, 926, 685, 503, 364, 261, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400670000000000000e+05, 4, 33, 19, 57, 127, 86, 57, 36, 22, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400680000000000000e+05, 3, 12, 22, 12, 6, 57, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400690000000000000e+05, 0, 496, 75, 240, 240, 240, 75, 240, 240, 149, 75, 75, 40, 29, 16, 9, 3, 2, 0
9.400700000000000000e+05, 0, 98, 68, 42, 36, 22, 12, 6, 2, 2, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400710000000000000e+05, 3, 16, 261, 188, 130, 127, 86, 57, 36, 22, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400720000000000000e+05, 16, 87, 58, 37, 37, 388, 388, 88, 59, 88, 59, 37, 37, 19, 19, 4, 4, 1, 0
9.400730000000000000e+05, 0, 496, 362, 262, 690, 366, 262, 262, 185, 168, 114, 75, 49, 29, 16, 12, 6, 2, 0
9.400740000000000000e+05, 0, 16, 16, 16, 641, 641, 434, 240, 240, 149, 107, 75, 40, 26, 16, 9, 3, 2, 0
9.400750000000000000e+05, 0, 668, 668, 900, 897, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400760000000000000e+05, 0, 2, 36, 127, 86, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 12, 6, 2, 0
9.400770000000000000e+05, 0, 6, 6, 22, 12, 6, 2, 0, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400780000000000000e+05, 0, 6, 12, 685, 667, 492, 358, 258, 182, 127, 86, 57, 36, 36, 22, 12, 6, 2, 0
9.400790000000000000e+05, 2111, 1622, 1260, 942, 676, 501, 360, 260, 252, 177, 122, 82, 53, 33, 19, 10, 4, 1, 0
9.400800000000000000e+05, 16, 75, 75, 240, 641, 338, 240, 240, 114, 75, 75, 75, 29, 16, 16, 9, 3, 2, 0
9.400810000000000000e+05, 4, 1578, 909, 679, 679, 362, 362, 260, 183, 146, 98, 66, 40, 24, 13, 8, 4, 1, 0
9.400820000000000000e+05, 7, 6, 668, 900, 668, 493, 359, 259, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400830000000000000e+05, 0, 6, 258, 182, 358, 258, 182, 127, 86, 57, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400840000000000000e+05, 13, 1578, 57, 36, 897, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400850000000000000e+05, 0, 98, 98, 270, 201, 139, 98, 98, 40, 40, 98, 13, 42, 25, 13, 12, 6, 2, 0
9.400860000000000000e+05, 0, 0, 0, 86, 127, 86, 182, 127, 86, 57, 36, 22, 12, 6, 2, 12, 6, 2, 0
9.400870000000000000e+05, 4, 898, 668, 493, 360, 259, 183, 130, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400880000000000000e+05, 0, 2, 0, 12, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 22, 12, 6, 2, 0
9.400890000000000000e+05, 1, 0, 12, 6, 12, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0, 6, 2, 0
9.400900000000000000e+05, 0, 1238, 1238, 927, 687, 584, 427, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400910000000000000e+05, 668, 537, 388, 287, 258, 182, 127, 86, 86, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400920000000000000e+05, 0, 86, 57, 57, 182, 127, 86, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400930000000000000e+05, 43, 43, 43, 499, 679, 499, 423, 305, 225, 156, 106, 69, 43, 28, 15, 7, 6, 2, 0
9.400940000000000000e+05, 1, 0, 964, 964, 735, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400950000000000000e+05, 1, 1, 0, 898, 668, 259, 361, 259, 183, 128, 89, 58, 37, 23, 22, 12, 6, 2, 0
9.400960000000000000e+05, 16, 16, 8, 641, 641, 641, 240, 338, 240, 167, 114, 75, 48, 29, 16, 12, 6, 2, 0
9.400970000000000000e+05, 139, 98, 201, 139, 98, 584, 98, 302, 212, 139, 98, 66, 53, 24, 19, 10, 4, 1, 0
9.400980000000000000e+05, 1260, 1260, 1260, 942, 697, 518, 374, 352, 252, 177, 127, 86, 57, 36, 22, 12, 6, 2, 0
9.400990000000000000e+05, 0, 12, 6, 2, 36, 667, 492, 358, 258, 182, 127, 86, 57, 36, 22, 12, 6, 2, 0
