ID, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18
5.900220000000000000e+05, 0, 6, 12, 22, 22, 36, 36, 36, 36, 36, 22, 22, 12, 12, 12, 12, 6, 2, 0
5.900230000000000000e+05, 0, 6, 12, 22, 36, 36, 36, 57, 36, 22, 22, 12, 12, 6, 2, 0, 0, 0, 0
5.900240000000000000e+05, 0, 22, 22, 36, 22, 22, 22, 22, 22, 22, 12, 12, 12, 6, 2, 2, 0, 0, 0
5.900250000000000000e+05, 0, 12, 12, 22, 22, 22, 12, 22, 22, 22, 12, 12, 6, 6, 6, 2, 2, 0, 0
5.900260000000000000e+05, 0, 12, 12, 12, 12, 12, 22, 22, 22, 22, 12, 12, 12, 6, 2, 2, 0, 0, 0
5.900270000000000000e+05, 0, 12, 22, 36, 36, 22, 22, 22, 22, 22, 12, 12, 12, 12, 6, 6, 2, 2, 0
5.900280000000000000e+05, 0, 6, 12, 12, 22, 36, 22, 22, 12, 12, 6, 6, 6, 2, 2, 2, 2, 2, 0
5.900290000000000000e+05, 0, 12, 36, 57, 57, 57, 57, 57, 36, 36, 36, 36, 22, 22, 12, 6, 6, 2, 0
5.900300000000000000e+05, 0, 12, 22, 22, 22, 22, 22, 22, 22, 22, 12, 6, 6, 6, 2, 2, 2, 0, 0
5.900310000000000000e+05, 0, 22, 12, 22, 22, 22, 22, 22, 12, 22, 22, 22, 22, 22, 12, 12, 6, 2, 0
5.900320000000000000e+05, 0, 6, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 6, 6, 6, 6, 2, 0
5.900330000000000000e+05, 0, 6, 22, 22, 22, 22, 12, 12, 12, 12, 12, 12, 12, 6, 6, 2, 2, 2, 0
5.900340000000000000e+05, 0, 12, 12, 22, 22, 22, 12, 12, 22, 12, 12, 6, 6, 2, 0, 0, 0, 0, 0
5.900350000000000000e+05, 0, 22, 36, 36, 57, 57, 57, 57, 36, 36, 36, 36, 36, 22, 22, 12, 6, 2, 0
5.900360000000000000e+05, 0, 6, 22, 36, 36, 36, 57, 36, 36, 22, 22, 12, 6, 2, 6, 2, 0, 0, 0
5.900370000000000000e+05, 0, 6, 22, 22, 22, 22, 12, 12, 12, 12, 6, 6, 6, 6, 2, 2, 0, 0, 0
5.900380000000000000e+05, 0, 36, 22, 22, 22, 22, 22, 22, 22, 22, 12, 12, 12, 6, 2, 2, 2, 0, 0
5.900390000000000000e+05, 0, 6, 12, 22, 36, 36, 22, 12, 12, 6, 6, 6, 6, 6, 6, 2, 2, 0, 0
5.900400000000000000e+05, 0, 12, 12, 22, 22, 22, 22, 22, 22, 22, 12, 12, 12, 12, 12, 6, 6, 2, 0
5.900410000000000000e+05, 0, 12, 22, 36, 36, 57, 57, 36, 36, 36, 22, 12, 6, 6, 6, 2, 0, 0, 0
5.900420000000000000e+05, 0, 12, 22, 36, 36, 36, 36, 36, 22, 22, 22, 36, 22, 12, 6, 6, 2, 2, 0
5.900430000000000000e+05, 0, 22, 22, 22, 22, 22, 22, 22, 22, 22, 12, 12, 12, 6, 6, 2, 2, 0, 0
5.900440000000000000e+05, 0, 12, 22, 22, 22, 22, 22, 12, 12, 12, 12, 6, 6, 6, 6, 2, 6, 2, 0
5.900450000000000000e+05, 0, 12, 22, 22, 36, 36, 36, 36, 36, 22, 12, 12, 12, 6, 6, 2, 2, 2, 0
5.900460000000000000e+05, 0, 12, 12, 22, 22, 22, 22, 22, 12, 12, 12, 12, 12, 12, 12, 6, 2, 2, 0
5.900470000000000000e+05, 0, 12, 12, 22, 22, 22, 22, 22, 22, 12, 12, 12, 6, 6, 6, 6, 2, 2, 0
5.900480000000000000e+05, 0, 2, 12, 12, 22, 22, 36, 36, 36, 36, 22, 22, 12, 12, 6, 2, 2, 2, 0
5.900490000000000000e+05, 0, 12, 6, 12, 12, 12, 22, 22, 12, 12, 12, 12, 12, 12, 6, 2, 2, 2, 0
5.900500000000000000e+05, 0, 6, 12, 22, 22, 36, 36, 36, 22, 22, 22, 12, 12, 6, 2, 2, 2, 0, 0
5.900510000000000000e+05, 0, 12, 36, 36, 36, 36, 36, 36, 36, 22, 12, 6, 6, 12, 6, 2, 2, 2, 0
5.900520000000000000e+05, 0, 12, 22, 22, 22, 22, 22, 22, 22, 12, 22, 12, 12, 12, 6, 6, 2, 0, 0
5.900530000000000000e+05, 0, 12, 22, 36, 57, 57, 57, 57, 36, 36, 22, 12, 12, 6, 12, 6, 2, 0, 0
5.900540000000000000e+05, 0, 6, 22, 22, 22, 22, 22, 22, 22, 12, 12, 6, 6, 6, 6, 2, 0, 0, 0
5.900550000000000000e+05, 0, 12, 22, 22, 12, 12, 22, 22, 22, 22, 12, 12, 12, 6, 6, 2, 2, 2, 0
5.900560000000000000e+05, 0, 12, 22, 36, 36, 36, 22, 22, 12, 12, 22, 22, 12, 12, 12, 6, 6, 2, 0
5.900570000000000000e+05, 0, 12, 22, 36, 36, 57, 57, 36, 36, 36, 36, 22, 12, 6, 2, 2, 0, 0, 0
5.900580000000000000e+05, 0, 12, 22, 22, 36, 36, 36, 36, 22, 22, 12, 12, 12, 12, 6, 6, 6, 2, 0
5.900590000000000000e+05, 0, 36, 36, 57, 57, 36, 36, 36, 22, 22, 22, 12, 12, 12, 12, 12, 6, 2, 0
5.900600000000000000e+05, 0, 36, 36, 36, 57, 36, 36, 36, 22, 22, 12, 12, 6, 6, 6, 2, 2, 0, 0
5.900610000000000000e+05, 0, 12, 22, 12, 12, 12, 12, 12, 6, 6, 6, 6, 6, 6, 2, 2, 2, 0, 0
5.900620000000000000e+05, 0, 6, 12, 12, 12, 22, 36, 22, 22, 22, 22, 12, 12, 12, 6, 6, 6, 2, 0
5.900630000000000000e+05, 0, 22, 36, 36, 22, 36, 36, 36, 22, 22, 22, 12, 12, 12, 6, 2, 0, 0, 0
